НАЗВАНИЕ,ГОРОД,РЕЙТИНГ,ИЗМЕНЕНИЕ,ЧЕКИНОВ
Schwarz Kaiser Brewery,Санкт-Петербург,3.25,–,2
Ravencraft,Санкт-Петербург,3.25,–,2
Craft Brew Riots,Санкт-Петербург,3.19,↓ -19,4
Mookhomor Production,Санкт-Петербург,3.17,↓ -8,24
Oh No Cidrerie,Санкт-Петербург,3.15,↓ -157,5
Heineken Brewery (Объединенные Пивоварни Хейнекен),Санкт-Петербург,3.09,↓ -4,20
Panzer Brewery,Санкт-Петербург,3.07,↓ -56,21
MainStream Brewery,Санкт-Петербург,3.06,↓ -11,4
Mager Brewery,Санкт-Петербург,3.02,↓ -84,11
Vasileostrovskaya Brewery (Василеостровская Пивоварня),Санкт-Петербург,3.0,↓ -51,57
Vaclav Zamok (Вацлав Замок),Санкт-Петербург,3.0,↓ -25,1
Zavod Trehsosensky (Завод Трехсосенский),Санкт-Петербург,3.0,↑ +5,6
NoName Brew,Санкт-Петербург,3.0,↓ -26,3
Konix Brewery,Saint Petersburg,3.0,–,2
Brasserie de Metropole,Санкт-Петербург,3.0,↓ -50,2
New Riga's Brewery,Saint Petersburg,3.0,–,1
Alaska Brewery,Saint Petersburg,3.0,–,1
Ochakovo (Очаково),Санкт-Петербург,3.0,↓ -142,3
Malakhovskaya brewery (Малаховская пивоварня),Санкт-Петербург,3.0,–,1
Barnaulsky Pivovarenny Zavod (Барнаульский Пивоваренный Завод),Санкт-Петербург,3.0,–,1
Gorkovskaya Brewery (Горьковская пивоварня),Санкт-Петербург,2.98,↓ -6,42
Bochkarevsky Pivovarenny Zavod (Бочкаревский Пивоваренный Завод),Санкт-Петербург,2.92,↓ -11,9
Selfmade Brewery,Saint Petersburg,2.83,–,3
Crazy Brew,Санкт-Петербург,2.75,↓ -118,2
Krop-Pivo (Кроп-Пиво),Санкт-Петербург,2.75,↓ -9,7
Buket Chuvashii (Букет Чувашии),Санкт-Петербург,2.75,↓ -18,1
Хадыженский Пивзавод,Санкт-Петербург,2.75,–,1
Белый Кремль (Bely Kreml),Санкт-Петербург,2.75,↓ -19,2
Borderless brewery,Санкт-Петербург,2.69,–,4
AB InBev Efes,Санкт-Петербург,2.68,↓ -11,27
Tomskoe Pivo (Томское Пиво),Санкт-Петербург,2.68,↓ -13,10
ТАРКОС (TARKOS),Санкт-Петербург,2.63,↓ -20,15
Vyatich (Вятич),Санкт-Петербург,2.57,↓ -34,7
Wooden Beard Brewery,Санкт-Петербург,2.5,↓ -166,1
Пивоварня Кожевниково (Kozhevnikovo Brewery),Санкт-Петербург,2.5,↓ -71,3
Tagilskoe Pivo (Тагильское Пиво),Санкт-Петербург,2.5,–,1
Danilovskaya Pivovarnya (Даниловская Пивоварня),Санкт-Петербург,2.44,↓ -23,4
Пивоварня Якорь,Санкт-Петербург,2.38,–,2
Baltika Breweries (Балтика),Санкт-Петербург,2.33,↓ -29,41
Afanasy (Афанасий),Санкт-Петербург,2.29,↓ -36,6
Pivovarenny Dom Bavaria (Пивоваренный Дом Бавария),Санкт-Петербург,2.25,–,1
Lakinsky Pivzavod (Лакинский Пивзавод),Санкт-Петербург,2.0,–,1
MANFAS Brewery,Санкт-Петербург,2.0,↓ -73,2
Nuclear Brewery,Санкт-Петербург,1.33,–,3
Tolstiy Fraer (Толстый Фраер),Санкт-Петербург,1.23,↓ -76,16
Форштадтская Пивоварня,Санкт-Петербург,1.0,↓ -80,2
Северная Пивоварня,Санкт-Петербург,0.75,↓ -40,1
