СОРТ ПИВА,ПИВОВАРНЯ,РЕЙТИНГ,ИЗМЕНЕНИЕ,ЧЕКИНОВ
ENGLISH BARLEYWINE,Vasileostrovskaya Brewery (Василеостровская Пивоварня),4.4,↑ +2066,5
Peach For the Bitch,FFF BREW,4.4,↑ +2080,5
Envoy of Doom // Bowmore BA,XP Brew,4.38,–,26
Vanity,Red Button Brewery,4.38,↑ +2659,2
Дед Пихур,Lark Craft (Жаворонская Пивоварня),4.38,↓ --8,2
Great Coconut Wall,Borderless brewery,4.38,–,2
Vova,Jaws Brewery,4.38,↑ +634,2
Tripel,Konix Brewery,4.38,↑ +2859,2
Пшеничный эль,Пётр Петрович (Petr Petrovich),4.38,↑ +916,2
"Drunch – Donuts, Chocolate Cookies & Coffee",Bottle Share,4.38,–,2
English Barleywine Aged In Jack Daniels Bourbon Barrels,Salden's Brewery,4.38,↑ +1848,2
Love And Squalor,AF Brew,4.36,↓ --70,7
"Напиток, изготовленный на основе пива Со вкусом вишни (Beer Blazer Cherry Flavour)",Lakinsky Pivzavod (Лакинский Пивзавод),4.33,–,3
APA,Brewmen,4.33,–,3
Queen Mary Old Burton Ale 2017 Brett Edition,Victory Art Brew,4.33,↑ +915,3
Чертово Яблоко,Applehead,4.33,↑ +3587,6
SPLURGE,Red Button Brewery,4.33,↑ +215,422
Лоботомия 2018 Фронтальная (Lobotomy 2018 Frontal) Triple-Bourbon BA,AF Brew,4.32,↑ +433,11
Jokikyla Chilli Cider,Jokikylä Brewers And Cider Makers,4.31,–,4
Sorrel × Gooseberry × Mint,Symbiotica by AF Brew × BSG,4.31,↓ --108,16
Woest,Double A Brewing,4.31,↑ +503,4
Чёрный Молочник (Black Milkman),Pivzavod77 Brewery & Pub,4.31,↑ +1509,4
Apples Youth,Applehead,4.31,–,4
Escapism Raspberry,Black Cat Brewery,4.3,↑ +1180,5
My Big Greek Mead,Rustique Pivasique,4.3,–,32
Attitude,Та-Та,4.29,↑ +1015,7
True Color,LaBEERint Brewery,4.28,↑ +908,8
Demon Cake,Lovecraft Weird Brewery,4.28,↑ +1270,48
Le Miel Noir,Sever Meadery,4.28,↑ +436,20
Blueberry&Vanilla Mead 6%,Steppe & Wind Meadery (Степь и Ветер),4.26,↑ +513,30
Sample Chew (50/50),Red Button Brewery,4.25,–,111
102,MANFAS Brewery,4.25,↑ +2611,4
Sacred Duality,Rewort Brewery,4.25,↑ +1080,5
Encyclopædia. Vol. II. Wood Series by Cellar Master. BA Macallan & Flor De Caña 1 Y.,DaLi Brewery,4.25,↑ +1149,1
Apricot Jam Session,Green Street Brewery,4.25,–,5
Mirage,Hausmann Brewery,4.25,↑ +1151,1
Milkshake DIPA With Blueberry Puree,Salden's Brewery,4.25,↑ +1151,1
Железнодорожная вода V2,Alaska Brewery,4.25,↑ +2711,1
B-15A,Heartly Brewery,4.25,↓ --218,1
Wild Ale With Raspberry Batch #2,Salden's Brewery,4.25,↑ +1636,1
CZ,Solbirs Brewery,4.25,↑ +2382,1
Risk 2.0 (Summer Edition),Selfmade Brewery,4.25,↑ +2847,1
Vermont Cider,Courage Brewery,4.25,–,2
Dolce Vita,Fun Craft Brew,4.25,–,2
DIPA,Salden's Brewery,4.25,–,1
Горная медовуха из Медовеевки (полусладкая),Endemic Mountain Brewery,4.25,–,1
Riot & Conspiracy,Zagovor Brewery,4.25,↑ +758,2
The Dragonflys Fury,Brew Division,4.25,–,2
ЧПч-2,Пивоварня Якорь,4.25,–,1
Дисгармония,Brewlok Brewery,4.25,↑ +71,1
Ogorod Mango & Passion Fruit,Pivot Point,4.25,↑ +4252,3
Lil Berry,Steppe & Wind Meadery (Степь и Ветер),4.25,↑ +3041,4
Neverlow,Ostrovica,4.25,–,2
Флора (Falconers Flight + Ekuanot)  / Flora (Falconers Flight + Ekuanot),Пивоварня Чаща / Thicket Brewery,4.25,–,1
Wild Raspberry,Oka River,4.25,↑ +994,3
Sour Happens,Brew Fiction,4.25,–,1
Невыносимая Лёгкость Бытия,DARKSIDE,4.25,↑ +133,1
Illusion of Infinity,Big Village Brewery,4.25,–,1
ЗАБВЕНИЕ,Big Village Brewery,4.25,–,2
Ремесленный живой,Afanasy (Афанасий),4.25,–,1
John Coffey,The Ded & Paddle (Дед с веслом),4.25,–,1
Classic Porter,ТАРКОС BREWLAB,4.25,–,1
Afanasiy Porter (Афанасий Портер) (2020),Afanasy (Афанасий),4.25,–,1
Amphiprion,Bakunin Brewing Co.,4.25,↑ +3651,2
HighLight,DaLi Brewery,4.25,↑ +164,1
Grani Apricot,Stamm Brewing,4.25,↑ +1438,8
Passion Fruit,Pivot Point,4.25,–,1
Бочковое Барнаульское,Barnaulsky Pivovarenny Zavod (Барнаульский Пивоваренный Завод),4.25,↑ +1233,1
Road To Asa Bay,Plan B Brewery,4.25,↑ +4476,4
Isaque,Double A Brewing,4.25,↑ +184,2
Frozen Monk,GAS Brew,4.25,↑ +184,6
Liquid Bakery: Blueberry Pancakes With Maple Syrup,DIETA / ДИЕТА,4.25,↑ +423,7
Russian Imperial Stout (Smoked Bourbon),Heartly Brewery,4.25,–,1
Global Tribe,Rewort Brewery,4.25,–,2
T and U (San Tome Cocoa Beans),Plan B Brewery,4.25,↑ +744,3
Préaris Victory 369 Ágrio *Sweet Brett Edition*,Victory Art Brew,4.25,↑ +1609,8
Сидр Aperol Spritz,Trigger,4.25,–,1
Кислые щи,Dog Day Brewery,4.25,↑ +1537,1
HomeoParty DDH MicroIPA,BANDARLOG Brewery,4.25,↑ +207,1
Jingle All the Way,Victory Art Brew,4.25,–,1
Stardust,Rock'n'Beer,4.25,↑ +2046,3
Sibirskaya Korona Zhivoe (Сибирская Корона Живое),AB InBev Efes,4.25,–,1
Sea Dwarfs Extra Stout,Salden's Brewery,4.25,–,1
Hops My Bitch Up. Citra + Galaxy Edition.,DaLi Brewery,4.25,↑ +1233,2
Robin,Jonathan Brewpub,4.25,↑ +1233,1
Stonehenge,Victory Art Brew,4.25,↑ +4271,1
Escapist,Bakunin Brewing Co.,4.25,–,1
Ленинградский Налив,Токсовская Сидрерия (On The Bones),4.25,↓ --231,1
Barsook Original,Suzdal Brewery (Суздальская Пивоварня),4.25,–,1
Futurology,Big Village Brewery,4.25,–,12
Bombora,Dogma,4.25,↓ --142,4
Sour Cruise: Raspberry,Ostrovica,4.25,–,1
Sour Ale Summer Passion (Маракуйя),1516 Pub & Brewery,4.25,–,1
Пшеничный Эль,Petzold Brewpub,4.25,↑ +4917,1
Hammer Time,Selfmade Brewery,4.25,↑ +739,1
Citra IPA,Salden's Brewery,4.25,↑ +267,1
Bond. Pho-Bond (Phoshnaya Mono Kitchen Collaboration),BANDARLOG Brewery,4.25,–,1
URALS Coconut And Vanilla BA Bourbon,Stamm Brewing,4.25,↑ +5347,2
Oak Smoked Tomato Gose Chili Edition,Salden's Brewery,4.25,↓ --195,2
Midlife,Та-Та,4.25,↑ +1259,1
Blaeckbeer,Lux In Tenebris,4.25,↑ +3992,1
Обер Канцлеръ,ПЗ Канцлеръ,4.25,↑ +3392,2
Green Team,Courage Brewery,4.25,↑ +293,1
Безмолвие,Big Village Brewery,4.25,↑ +1266,1
de Kuiper Till,Oka River,4.25,↑ +309,1
Вброс [Cashmere + Idaho 7 + Simcoe],4BREWERS,4.25,↑ +1266,1
Эффект Домино (BA Cognac),Big Village Brewery,4.25,–,5
Dispersion [Citra+Cashmere],4BREWERS,4.25,↑ +322,1
Dipa,Brew Barrel,4.25,–,1
Löwa Brune,Crazy Brew,4.25,–,2
Ночной дозор,Brewlok Brewery,4.25,–,2
Watermelon Cider,Brighton Brew,4.25,–,1
Bakers Shard,Selfmade Brewery,4.23,↑ +620,13
In Search (BA Red Wine),Big Village Brewery,4.22,↑ +358,9
First Press (Vintage 2019),Токсовская Сидрерия (On The Bones),4.22,↑ +513,8
Ставленный Мед,Медоварня Традиции Предков,4.21,–,7
Non Existence,Та-Та,4.21,↑ +477,13
Godovasique (2020),Rustique Pivasique,4.21,–,36
Tarradiddle,Red Button Brewery,4.21,↑ +377,6
Chuvashian King Blend #1,Victory Art Brew,4.2,↑ +1906,5
АЙДАНУДАНАЙ,Заповедник,4.2,–,40
Smoothie: Inti,Oh No Cidrerie,4.2,–,50
Abyss Russian Imperial Stout,Salden's Brewery,4.19,–,9
"Smoothie Mead: Strawberry, Banana, Cranberry",Steppe & Wind Meadery (Степь и Ветер),4.19,–,112
Сидр Лось и Кедр V.37.0 (Экстра Мангостра),Лось и Кедр (Moose & Cedar),4.19,–,4
Skjaldemjøden,Hausmann Brewery,4.19,↑ +341,4
Medusa,Salden's Brewery,4.19,↑ +3046,4
Bloomberry,Brewerich,4.19,↑ +249,16
Достоевский. Том 1,Brewlok Brewery,4.18,↑ +394,7
Villaribo I (salt and a lot of chili Naga),GAS Brew,4.18,–,27
28th Anniversary Flawless Ale,Rustique Pivasique,4.17,–,33
Patricide,Та-Та,4.17,↑ +557,23
Russian Imperial Stout (barrel #6),Konix Brewery,4.17,↑ +660,3
32.12 (2019 Edition),New Riga's Brewery,4.17,↑ +3660,3
MADMARIN Black,Ostrovica,4.17,↓ --202,3
Roller Disco,Big Village Brewery,4.17,↑ +963,6
Karl 3,Karl & Friedrich (Карл и Фридрих),4.17,↑ +1216,3
NE Pale Ale,Salden's Brewery,4.17,–,3
YELLOW FOG,Big Village Brewery,4.17,↑ +341,3
Антоновские яблоки (Antonovka apples) 2019,Applehead,4.17,–,6
#ByLM Belarusian Lives Matter,Rewort Brewery,4.17,–,164
LOVE SWEET TEARS,Brewlok Brewery,4.16,–,64
Кислый Парень [Raspberry+Strawberry+Passionfruit],4BREWERS,4.16,–,54
Cherry Eternity,Zavod,4.16,↑ +335,11
OverHypeBeast,AF Brew,4.16,–,30
ESCHER CUBE,Zagovor Brewery,4.15,–,209
Préaris Victory 369 Ágrio *Dry*,Victory Art Brew,4.15,↑ +647,13
Satan Infernalis,Plan B Brewery,4.15,↓ --105,10
Черный Балтиец (Baltic Porter),Pivzavod77 Brewery & Pub,4.15,↑ +49,5
Jokikylä Ice Cider,Jokikylä Brewers And Cider Makers,4.15,–,5
Wild Ale With Raspberry,Salden's Brewery,4.15,↑ +70,5
Шардонне брют,Пивоварня Якорь,4.15,↑ +3343,10
Message In the Bottle,ColdRiver,4.15,↑ +949,5
Страна лентяев 2019 [BA Cabernet Sauvignon],Bottle Share,4.15,↑ +531,82
Druif,Double A Brewing,4.14,↑ +588,33
Платонов. Том 3,Brewlok Brewery,4.14,↓ --232,7
Canneberge Spontanée,Ame Wild Freaks,4.14,–,67
Limit Break,Stamm Brewing,4.14,↑ +387,341
Find Deny Substract Boil (50/50),Red Button Brewery,4.13,↑ +290,270
Gagar1n 4th Brew,Samovar Brew,4.13,↓ --274,15
STOPNGO: DDH+Lupulin Powder,Zagovor Brewery,4.13,↓ --59,170
Monkey Swoop Banana.PassionFruit,GAS Brew,4.13,–,151
Ditchy Pear (2019),Applehead,4.13,↑ +5254,23
Альтер Эго,Big Village Brewery,4.13,↑ +416,79
Cacao Dessert For Your Mom,Time Bomb Brewery,4.12,↑ +5047,2
Lager California,Gellert & Wild Goat,4.12,–,2
Доставьте меня по адресу...,Butch & Dutch,4.12,↑ +3658,4
"Остородно, сидр! Forest Point",Токсовская Сидрерия (On The Bones),4.12,–,2
Stylo,Stamm Brewing,4.12,↑ +1789,8
Freestyle Phantom,Wild Lab,4.12,↑ +2391,6
Доза [Guava + Mango],4BREWERS,4.12,↑ +619,2
BOOKS About UFOs,Zagovor Brewery,4.12,↑ +1045,4
de Kuiper Lamme,Oka River,4.12,↑ +387,2
Quartet X (BA Red Wine),Big Village Brewery,4.12,↓ --85,4
Berliner Bear Bock,Пётр Петрович (Petr Petrovich),4.12,–,2
Сидр Черешня,Custom Brewery,4.12,↑ +2781,2
Белый кролик,Пивоварня Кожевниково (Kozhevnikovo Brewery),4.12,↑ +3795,2
Bruder Янтарный,Medovarus,4.12,–,2
Районный комитет (District Committee),Bakunin Brewing Co.,4.12,–,2
Strawberry & Lime Cider,Ashram Cider,4.12,–,4
Spacebar,Zagovor Brewery,4.12,↑ +1113,2
Sour Juice Explosion - Raspberry,Brew Fiction,4.12,↑ +1932,4
Tafel Bier,Double A Brewing,4.12,↓ --235,2
Bicep,Red Button Brewery,4.12,↑ +633,4
Инверсия,Big Village Brewery,4.12,↑ +318,4
Британский Браун Эль,Brewmen,4.12,–,2
CONSCIOUSNESS,Circada,4.12,↑ +2098,6
English Barleywine Aged In Bourbon Barrels Batch #4,Salden's Brewery,4.12,↑ +1673,2
Магический реализм,Plan B Brewery,4.12,↑ +1428,4
Sour Porter,One Ton Brewery (Пивоварня Одна Тонна),4.12,↑ +3216,2
NON-STOP,Cheers Brewery,4.12,↑ +1429,2
Telkü,Snowcap Brewing,4.12,↑ +3306,2
Russian Imperial Stout  (barrel #5),Konix Brewery,4.12,↑ +205,2
Trekhgornoe Pryany Ale 2020 / Oak Chips Edition (Трехгорное Пряный Эль 2020 / На Дубовых стружках),Moscow Brewing Company (Московская Пивоваренная Компания),4.12,↑ +3351,2
Sample,DaLi Brewery,4.12,↑ +261,16
Предвкушение (BA Grappa 2017 year ed.),Big Village Brewery,4.12,–,4
Hell  Awaits,COVEN Brewery,4.12,↑ +562,29
Smoothie Neopolitano,Paradox,4.12,–,36
"Raspberry, Mint And Hop Mead 6%",Steppe & Wind Meadery (Степь и Ветер),4.11,↑ +688,9
Beauty & Health: Groseilles & Cassis,DIETA / ДИЕТА,4.11,–,237
4 In 1 Super Sour,Stamm Brewing,4.11,↑ +414,521
Dark Train,Khoffner Brewery,4.11,↑ +2609,7
Mad Notion,Selfmade Brewery,4.11,↑ +5049,14
Unholy Melancholy,AF Brew,4.11,↑ +692,21
Simcoe & Mosaic Double IPA Lupulin Edition,Salden's Brewery,4.11,↑ +183,7
STOPNGO,Zagovor Brewery,4.11,↑ +1638,26
LOVE SWEET TEARS,Brewlok Brewery,4.11,–,200
Stranger In the Strange Land,Oka River,4.1,–,5
Consider Me [Blueberry/Tonka],Wild Lab,4.1,↑ +66,50
Sour Juice Explosion - Pear & Passion Fruit,Brew Fiction,4.1,↑ +3074,5
True Color BA Chivas Regal Whisky,LaBEERint Brewery,4.1,↑ +505,5
Lime & Sea Salt Cider,Ashram Cider,4.1,↑ +359,5
Ray the Giant (BA Chivas),Ostrovica,4.1,↑ +349,28
Cassis Ruby,Konix Brewery,4.1,↑ +413,47
Envoy of Doom // BenRiach BA,XP Brew,4.1,–,34
Стереограмма,Big Village Brewery,4.1,–,411
Monoplay HBC692,Stamm Brewing,4.09,–,187
Oude Together,Rustique Pivasique,4.09,–,51
Dzied-Baradzied - BA Rioja,Bottle Share,4.09,↑ +1462,17
Экстраверсия,Big Village Brewery,4.09,↑ +417,66
Формула Горького,Gubaha Brewery (Губахинская Пивоварня),4.08,↑ +956,6
Pure Morning,COVEN Brewery,4.08,↑ +2550,3
Ivan BA Brett,Victory Art Brew,4.08,↑ +1532,12
G.see Boost,XP Brew,4.08,↓ --198,3
Charter Oak (2020),Lux In Tenebris,4.08,–,3
Neon Black,Dog Day Brewery,4.08,↑ +3801,3
Hugo C. (Colors of Venezuela),Rewort Brewery,4.08,↑ +1595,3
Electrolyte Rasp&Blackberry,Black Cat Brewery,4.08,↓ --106,3
TRUFFLE,Vasileostrovskaya Brewery (Василеостровская Пивоварня),4.08,↑ +2841,3
V.II,Jaws Brewery,4.08,↑ +334,3
Imperial Cider Rioja Barrel Aged (20%),LaBEERint Brewery,4.08,↓ --15,3
"Жажда [Малина, лайм, мята, ваниль]",4BREWERS,4.08,↑ +15,3
Weizen Eisbock,Пинта,4.08,↑ +83,6
German Pilsner,Sabotage,4.08,↑ +592,3
Oxymoron,Khoffner Brewery,4.08,↑ +3219,3
Bromelin,Hausmann Brewery,4.08,–,3
Strangelight,Zagovor Brewery,4.08,↑ +3305,6
Danky Danky!!,Wild Lab,4.08,↑ +2211,3
Бледный Эл,Пинта,4.08,↑ +3345,3
