СОРТ ПИВА,ПИВОВАРНЯ,РЕЙТИНГ,ИЗМЕНЕНИЕ,ЧЕКИНОВ
Жигулёвское Крепкое (Zhigulevskoe Extra),Baltika Breweries (Балтика),2.0,–,5
Медный эль,Zavod Trehsosensky (Завод Трехсосенский),2.0,↑ +76,1
ВкусВилл Пшеничное Светлое,Vyatich (Вятич),2.0,↑ +414,2
Вятский Квас Экспорт (Vyatsky Kvass Export),Vyatich (Вятич),2.0,–,1
Klassicheskoe (Классическое),Krop-Pivo (Кроп-Пиво),2.0,↓ --110,4
Hyper Super Orange,Lakinsky Pivzavod (Лакинский Пивзавод),2.0,↑ +890,7
Мужики на Волге,Baltika Breweries (Балтика),2.0,–,1
Гуляка,Stary Zavod (Старый Завод),2.0,↓ --193,2
Пикур ГОСТ,AB InBev Efes,2.0,–,1
Hyper Super Cherry (Хайпер Супер Вишня),Lakinsky Pivzavod (Лакинский Пивзавод),2.0,↑ +334,4
Zhigulevskoe (Жигулёвское),Krop-Pivo (Кроп-Пиво),2.0,↓ --96,3
SAIL ON Galaxy Idaho 7 New England IPA,Brewmen,2.0,–,2
Don Zhivoe (Дон Живое),Baltika Breweries (Балтика),2.0,–,6
Егерь,Danilovskaya Pivovarnya (Даниловская Пивоварня),2.0,↑ +668,1
Oatmeal Stout (Овсяный Стаут),Malakhovskaya brewery (Малаховская пивоварня),2.0,–,1
Shikhan Barkhatnoe (Шихан Бархатное),Heineken Brewery (Объединенные Пивоварни Хейнекен),2.0,↑ +144,1
Pseudo Jussique Double,Rustique Pivasique,2.0,↑ +1300,2
Шихан Пшеничное,Heineken Brewery (Объединенные Пивоварни Хейнекен),2.0,↑ +1005,1
Amstel Natur Lime,Heineken Brewery (Объединенные Пивоварни Хейнекен),2.0,–,1
Lager (Светлое),Ochakovo (Очаково),2.0,–,1
Полусухой Сидр,Кафедра Сидра,2.0,–,2
Юнга (Jim Beam Edition),Токсовская Сидрерия (On The Bones),2.0,–,2
Orange Killer,084Brewery,2.0,↑ +2626,2
Bereg Baikala (Берег Байкала),Heineken Brewery (Объединенные Пивоварни Хейнекен),2.0,–,1
Святой Домкрат (Vintage 2018 | Special Blend: Batch #6 & #10),Токсовская Сидрерия (On The Bones),2.0,–,2
Caspary Dunkel,Caspary Bräu,2.0,–,2
De Kuiper Oud Bruin Framboise,Oka River,2.0,↑ +2624,2
Blueberry-lime Cinnabomb,Ostrovica,2.0,–,2
МАРКА NEBREND AFANASY,Afanasy (Афанасий),2.0,↓ --11,1
Domashnee (Домашнее),Afanasy (Афанасий),2.0,↑ +791,6
Бавария Австрийское безалкогольное,Pivovarenny Dom Bavaria (Пивоваренный Дом Бавария),2.0,–,1
Chelada,RMBrew,2.0,↑ +2414,2
Nevskoe Ice (Невское Ice),Baltika Breweries (Балтика),2.0,–,1
